SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
Hervey Road Playing Field,Playing fields,Greenwich,4.7978,Restricted,,,,,,,,,
Warepoint Drive (West Thamesmead),Amenity green space,Greenwich,0.5659,Free,,,,,,,,,
Nightingale Place,Amenity green space,Greenwich,0.3932,Free,,,,,,,,,
Eltham Park north,Park,Greenwich,6.4454,De facto,,,,,,,,,
Small Pond Crescent Green,Amenity green space,Greenwich,0.1585,Free,,,,,,,,,
Pond Close Green,Amenity green space,Greenwich,0.8962,Free,,,,,,,,,
Plumstead Common West of The Slade,Park,Greenwich,7.5536,Free,,,,,,,,,
Sutcliffe Park,Park,Greenwich,19.1269,Free,,,,,,,,,
Eltham Palace Rd,Amenity green space,Greenwich,0.1707,Free,,,,,,,,,
Cutty Sark Gardens,Park,Greenwich,1.5599,Free,,,,,,,,,
King Johns Walk,Walking/cycling route,Greenwich,0.807,Free,,,,,,,,,
Academy Place Resevoirs Amenity Grassland,Amenity green space,Greenwich,0.8267,Free,,,,,,,,,
Gallions Reach Park,Park,Greenwich,2.6795,Free,,,,,,,,,
Tarnwood Park - The Tarn,Park,Greenwich,1.9106,Free,,,,,,,,,
Lovelace Green,Amenity green space,Greenwich,0.5282,Free,,,,,,,,,
Chesterfield Walk,Amenity green space,Greenwich,2.2605,Free,,,,,,,,,
Horn Park Allotments,Allotments,Greenwich,0.8982,Free,,,,,,,,,
Jackwood Formal Gardens,Park,Greenwich,0.8188,Free,,,,,,,,,
Tideslea Path,Amenity green space,Greenwich,0.3882,Free,,,,,,,,,
Mycenae Gardens,Formal garden,Greenwich,1.5872,Free,,,,,,,,,
Lynsted Gardens,Amenity green space,Greenwich,0.1216,Free,,,,,,,,,
Maryon Wilson Park,Park,Greenwich,12.5076,Free,,,,,,,,,
Eltham Cemetery,Cemetery/churchyard,Greenwich,10.4886,Free,,,,,,,,,
Kingsman Street Square,Amenity green space,Greenwich,0.356,Free,,,,,,,,,
Bournbrook Road,Amenity green space,Greenwich,0.3591,Free,,,,,,,,,
Witherston Way and The Underwood,Amenity green space,Greenwich,1.2258,Free,,,,,,,,,
King George's Field Recreation Ground,Recreation ground,Greenwich,1.9856,Free,,,,,,,,,
Woolwich Cemetery West,Cemetery/churchyard,Greenwich,5.0564,Free,,,,,,,,,
Birchmere Drain east,Canal,Greenwich,0.4133,Free,,,,,,,,,
Eltham Park north playing field,Playing fields,Greenwich,2.6908,De facto,,,,,,,,,
